sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity,lda_topic_0,lda_topic_1,lda_topic_2
7qUoDTmVj07qUf6ZBDhWKl,0.494,0.37200000000000005,7,-11.89,1,0.0331,0.9640000000000001,0.0296,0.11699999999999999,0.25,116.855,285160,1/20/2009,63,0.3080737590789795,0.6916224956512451,0.0
7aeHztFLa7y9oRCmnJiS7U,0.677,0.8390000000000001,2,-4.25,1,0.0378,0.00279,1.12e-05,0.307,0.807,98.008,243200,1998,48,0.0,0.0,0.9929168224334717
5DooySfCD1xCJ49gQm9rx7,0.5589999999999999,0.9309999999999999,9,-5.8629999999999995,1,0.0721,0.00318,1.24e-05,0.0624,0.644,90.911,190760,9/11/2001,66,0.4785272181034088,0.5213575959205627,0.0
2WBPO27sWeyxYau0KIGRyd,0.431,0.9790000000000001,10,-5.195,1,0.124,9.429999999999999e-05,0.00364,0.317,0.14800000000000002,149.618,411707,9/16/2005,18,0.0,0.9984048008918762,0.0
0Olqm4csdbHp2Q9y1Xdc92,0.579,0.0998,9,-15.232000000000001,1,0.0319,0.883,8.22e-05,0.111,0.44799999999999995,82.20299999999999,186320,1964,42,0.07766727358102798,0.9219959378242493,0.0
6aqm56xP40foYBBtAWWrnY,0.541,0.711,9,-13.492,1,0.0383,0.0635,0.0201,0.7190000000000001,0.588,136.58,291893,1978,67,0.2951095998287201,0.7047174572944641,0.0
5ccZqiUCxFJL3Q1mvG8Wjl,0.462,0.41,0,-14.155,1,0.0298,0.00607,0.0,0.113,0.124,130.034,288810,1/1/1989,25,0.0,0.9981282949447632,0.0
6DVNQXL9LRzKq8zjyFEuTC,0.306,0.889,6,-8.691,0,0.11699999999999999,0.000824,0.0121,0.271,0.255,182.054,249000,1/1/1993,54,0.0,0.9980142712593079,0.0
5awljpWNO5TpXCyjpvCBbs,0.294,0.613,1,-10.527000000000001,1,0.0374,0.23399999999999999,0.0004980000000000001,0.139,0.231,112.76700000000001,390800,4/28/1992,52,0.0,0.9981287121772766,0.0
1BZDPslmxdSdP9zQMsMNmG,0.38299999999999995,0.599,0,-9.766,1,0.0626,0.48,0.00186,0.222,0.644,134.30100000000002,264680,1965,28,0.9561048746109009,0.043517373502254486,0.0
19slC7k8bsPOAKDjHYLU2W,0.499,0.33,7,-11.467,1,0.0348,0.589,4.210000000000001e-05,0.102,0.395,135.993,221000,11/23/1970,74,0.05563996359705925,0.9441227912902832,0.0
0kxEMIpNL0GmIMKkTJ7vw0,0.635,0.852,11,-6.462999999999999,1,0.0516,0.166,0.0,0.309,0.966,76.498,174027,11/4/1997,51,0.12103887647390366,0.8787129521369934,0.0
5cEGQnaurid1T3sI5LyIL1,0.626,0.449,2,-9.161,1,0.0303,0.831,1.36e-05,0.10099999999999999,0.289,80.0,235093,1/9/1997,48,0.0,0.0,0.9909132122993469
2FtX5tOFUVOyjcGQiuGR8f,0.353,0.9209999999999999,2,-5.64,1,0.0758,0.0488,0.065,0.314,0.526,145.589,271653,1991,55,0.41476237773895264,0.584900975227356,0.0
