sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity
28zaRfdizHTtqqUXJWZjtb,0.723,0.865,5,-10.517,1,0.0451,0.0358,0.51,0.335,0.875,115.303,280000,1991-01-01,28
5NHLpgKZfuNfhHlv8uvEhr,0.589,0.461,7,-11.896,1,0.0363,0.58,0.0,0.0898,0.687,77.288,266787,2008-03-11,26
1Vej0qeQ3ioKwpI6FUbRv1,0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.661,150.184,184867,2000-10-24,73
0WTc2jsUgF4Y2MOz0aYvsR,0.355,0.973,4,-7.004,0,0.071,0.000359,0.154,0.142,0.628,187.385,152600,1995,50
7GRUpcvSQM9HrnC2CjYPG4,0.341,0.324,0,-11.864,1,0.025,0.13,1.11e-06,0.134,0.321,78.662,257867,1981-01-01,53
2fvZHicOzLqNrUmVQtq9PC,0.558,0.94,6,-5.637,1,0.114,3.5e-05,0.000136,0.384,0.398,108.839,305627,2008-04-01,27
7hwcojGiRqYm100tSmpZE3,0.486,0.784,0,-6.68,1,0.0852,0.0339,0.00452,0.53,0.315,195.154,241640,2009-05-25,65
2OBaVeRFXblWxoZHC4sryf,0.52,0.297,2,-17.211,1,0.0449,0.753,0.000562,0.109,0.677,156.059,202267,1970-02-01,57
1rMlkL91XCTNJaNrsUlNic,0.567,0.144,11,-18.071,1,0.0318,0.0091,3.73e-05,0.136,0.338,139.669,342867,1978-01-01,23
6Itvyf6uat9jiwgTKrMDRd,0.404,0.656,6,-7.778,0,0.0343,0.583,0.0,0.0883,0.657,130.551,182773,1968-01-01,45
0RzhMHIsFMbOGh0oWDvNNK,0.441,0.926,2,-4.736,1,0.046,0.423,3.38e-06,0.235,0.779,147.564,168827,1974-01-01,61
5z2Gef9D3UgRquZXe7UUW4,0.662,0.794,5,-6.942,1,0.152,0.206,0.0,0.149,0.841,168.106,149467,1955-12-19,54
6wcWYONsa1wGcmhu3WX7SK,0.558,0.507,7,-7.798,1,0.0396,0.329,0.0,0.0958,0.533,121.965,154133,2001-11-19,52
4sofx1s0nDS4LG1Tx3uxpG,0.512,0.655,7,-6.62,1,0.0526,0.342,0.0,0.114,0.761,178.069,235733,2007-03-03,40
3djNBlI7xOggg7pnsOLaNm,0.761,0.847,7,-3.068,1,0.0417,0.0292,2.26e-06,0.39,0.765,91.519,284480,2007-12-03,66
1gTCzUascRfdigO7PgpT6k,0.687,0.543,7,-10.151,1,0.0521,0.773,2.19e-06,0.705,0.807,129.296,320040,1973-11-01,48
6HFXjB2fvQUBuE3B5kmvfW,0.928,0.643,11,-5.48,0,0.0759,0.0527,0.0,0.0988,0.895,93.006,215907,2004-01-01,41
0w3Q14i073jLoew1hgJkwD,0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0,205200,2016-05-13,72
1syhTK7LlvpeWdZNsZARP0,0.8,0.712,1,-9.472,0,0.0419,0.291,0.0,0.145,0.667,123.211,180360,1982-03-23,53
7CFfGfrq3ACeUTs3Dp1UJ4,0.365,0.332,7,-11.87,1,0.0309,0.591,0.00372,0.0911,0.099,124.019,290080,1979-02-20,50
6sxptembJVty4sNtcPMAVz,0.657,0.639,10,-7.527,1,0.0412,0.581,0.0,0.278,0.674,124.882,234493,1997-11-04,73
6cQdZhnwKIeLud5qTD7BuQ,0.398,0.864,10,-8.199,1,0.0492,0.523,0.0,0.0985,0.782,148.47,135747,1966-01-01,39
7bhfCl1a1InaSy8NOWVswk,0.482,0.751,4,-4.993,1,0.0467,0.137,0.0,0.162,0.521,148.048,345693,2008-08-22,51
2FZZZ3L1wj9xTgQzMlQEed,0.813,0.32,3,-12.71,1,0.18,0.922,2.78e-06,0.305,0.803,79.504,149333,1990-02-03,43
2lp8xjq0WTm3HZKHuDEweg,0.8,0.361,6,-10.849,0,0.0635,0.0355,3.75e-06,0.0668,0.887,93.059,236067,1995-07-25,64
79dhcteL7MrY8SfJvwKxzu,0.533,0.707,9,-6.11,0,0.0344,0.00439,0.00256,0.206,0.58,80.543,244680,2003-01-12,51
5spAjqC772iC2KzDvEkmSr,0.315,0.22,5,-13.156,1,0.037,0.822,0.000211,0.245,0.0723,88.045,325947,1971,64
7hIdRDgUBPbqiQ7duhCyux,0.735,0.364,4,-13.774,1,0.028,0.618,0.000129,0.102,0.546,94.031,214747,1976,51
6a96JOJFDiPx9BV3Wjkl2P,0.331,0.407,6,-9.74,1,0.0757,0.554,0.0,0.112,0.193,77.96,291573,1986-02-18,45
5zJspdLbyd9lJUE3lXj6WL,0.486,0.355,0,-10.161,1,0.0251,0.556,4.57e-06,0.16,0.363,142.484,191200,2002-01-01,29
4jV4ld7z4BrswF3uKqz8Ny,0.718,0.368,0,-17.535,0,0.0351,0.538,0.0,0.0614,0.895,114.295,208240,1978,49
6m1MC7yAT1snt5M8r6diU1,0.564,0.868,9,-5.925,1,0.0361,0.00697,0.00103,0.219,0.737,125.774,180467,1998,21
5sSplYvm5g9hqCRoWRRtvE,0.643,0.188,1,-18.612,1,0.0408,0.125,0.0,0.0404,0.329,134.141,316373,1978-01-01,26
0iVguMH6HgmxT2UhsMckuD,0.346,0.963,6,-10.025,0,0.0858,6.16e-05,0.0048,0.351,0.183,158.666,297173,1986-09-30,25
19mXqYcLHY716cN53T1d1E,0.621,0.534,9,-10.09,0,0.036,0.555,1.29e-05,0.297,0.574,119.615,260827,1973,38
