sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity,lda_topic_0,lda_topic_1,lda_topic_2,Playlists
3vlTwuK1urCWqj0PcZIUgZ,0.754,0.906,1,-4.989,1,0.0989,0.0139,9.99e-06,0.332,0.928,95.467,246160,1989,29,0.03829585388302803,0.9615797996520996,0.0,[89]
0DfG1ltJnZyq4Tx3ZLL7ZU,0.61,0.8170000000000001,4,-9.45,0,0.133,0.29600000000000004,0.00336,0.0884,0.889,176.737,202236,1985,62,0.4743959605693817,0.5241955518722534,0.0,[132]
2GcZ60ulCY2pJdc2Q2dh8V,0.278,0.993,8,-3.623,1,0.119,9.45e-06,0.00373,0.29100000000000004,0.386,105.1,211253,2007,34,0.0,0.9980733394622804,0.0,[85]
6RMuj0wOQPJdWPgtqat3mU,0.6559999999999999,0.648,1,-9.572,1,0.0317,0.127,0.0671,0.333,0.7490000000000001,93.051,273382,2016,35,0.0,0.9990941286087036,0.0,[132]
2kDH08boXJyhKMl5hnZbrE,0.472,0.48,1,-11.893,1,0.0308,0.000204,0.00275,0.0914,0.126,123.023,286573,1990,62,0.702313244342804,0.2973953485488892,0.0,"[10, 30, 44, 76, 78, 80]"
3NjAxulzcqR9riwzAnoN7p,0.846,0.58,10,-6.533,0,0.0432,0.0346,4.53e-05,0.285,0.271,94.945,275389,2001,44,0.0,0.999491274356842,0.0,[161]
0xOeB16JDbBJBJKSdHbElT,0.401,0.933,8,-5.682,1,0.0344,0.00744,0.627,0.318,0.7340000000000001,127.193,310893,2004,65,0.0,0.9983640909194946,0.0,"[30, 41, 125, 133]"
7E8nKMtXMqIQbvl1Ta9Ucw,0.757,0.196,0,-15.395,1,0.0386,0.809,0.0,0.14,0.813,90.305,154667,1957,56,0.3352641761302948,0.6643441915512085,0.0,"[53, 126]"
7tUtvGeKB2V5W5ms6uBlyC,0.406,0.81,1,-6.127000000000002,1,0.0343,1.04e-05,1.34e-06,0.325,0.638,128.282,205493,2004,55,0.16900189220905304,0.8306390643119812,0.0,[48]
7nVQ8mo77KaUvhUQzh4vMy,0.363,0.361,9,-14.398,1,0.0499,0.623,0.00119,0.154,0.612,187.711,152867,1978,64,0.4066841006278992,0.5930954813957214,0.0,"[0, 51]"
4etE2X6t7GmyiuYLIdI8H5,0.49,0.8170000000000001,8,-5.405,1,0.0355,0.455,0.0,0.0885,0.8079999999999999,168.115,230373,2005,68,0.0,0.9986793994903564,0.0,"[51, 52, 53, 126]"
5zdUc1JRCImBYcDWgvFNpE,0.8170000000000001,0.8059999999999999,6,-4.606,1,0.0623,0.027000000000000003,9e-06,0.119,0.805,110.086,224640,2004,62,0.5423570275306702,0.457501620054245,0.0,"[88, 91]"
327k4Dy1RMww6xiTO75AIm,0.444,0.997,5,-3.198,0,0.196,8.240000000000001e-05,0.0407,0.34600000000000003,0.138,141.089,265480,2003,33,0.0,0.9991247653961182,0.0,[79]
64P3zpRsDHIk7YTpRtaKYL,0.523,0.731,2,-8.613,1,0.0559,0.0207,0.000464,0.081,0.81,117.089,144773,1968,49,0.4086097180843353,0.5909327268600464,0.0,[42]
6tK5lSFUyhh4DxCTQhm8Ez,0.37,0.29,7,-15.452,1,0.0451,0.609,0.0,0.193,0.643,204.098,176680,1989,15,0.6441084742546082,0.355754554271698,0.0,[50]
2ycLWMwfbUN0nEMylXrxuF,0.674,0.64,0,-8.894,1,0.0554,0.3720000000000001,0.159,0.0771,0.735,96.672,259627,1991,31,0.2657207250595093,0.6809858083724976,0.05329346284270287,[102]
3x95FfMhVfB3ZNIufQ1IF3,0.606,0.184,10,-15.26,1,0.0327,0.966,0.00027400000000000005,0.0962,0.7929999999999999,104.491,180893,1945,41,0.0,0.9963300824165344,0.0,"[53, 126]"
1RtnIF8uRwTLxmcR87V6Wo,0.373,0.737,1,-5.282,1,0.0297,9.4e-06,0.0,0.0696,0.565,177.9,186893,2007,60,0.1718219369649887,0.8279507756233215,0.0,"[40, 81]"
